drug,model,feature,importance
methicillin,RandomForest,norB_6,0.0
methicillin,RandomForest,pgsA,0.0
methicillin,RandomForest,parE,0.0
methicillin,RandomForest,rplF,0.0
methicillin,RandomForest,rpsJ,0.0
methicillin,RandomForest,rpsL,0.0
methicillin,RandomForest,sat-4,0.0
methicillin,RandomForest,sav1866,0.0
methicillin,RandomForest,tcaA,0.0
methicillin,RandomForest,tcaB,0.0
methicillin,RandomForest,tcaB_1,0.0
methicillin,RandomForest,tcaB_2,0.0
methicillin,RandomForest,tcaR,0.0
methicillin,RandomForest,tet(38),0.0
methicillin,RandomForest,tet38,0.0
methicillin,RandomForest,tetA,0.0
methicillin,RandomForest,tetL,0.0
methicillin,RandomForest,tuf,0.0
methicillin,RandomForest,tufA,0.0
methicillin,RandomForest,ugpQ_1,0.0
methicillin,RandomForest,ugpQ_2,0.0
methicillin,RandomForest,ugpQ_3,0.0
methicillin,RandomForest,ugpQ_4,0.0
methicillin,RandomForest,vraG,0.0
methicillin,RandomForest,vraR_1,0.0
methicillin,RandomForest,vraS_1,0.0
methicillin,RandomForest,vraS_2,0.0
methicillin,RandomForest,yheS_3,0.0
methicillin,RandomForest,yvqF,0.0
erythromycin,LogReg,EF-G,0.5287614563257949
erythromycin,LogReg,fabF,0.5287614563257949
erythromycin,LogReg,MurA,0.5287614563257949
erythromycin,LogReg,mgrA,-0.4904708176599269
erythromycin,LogReg,arlR,-0.47138573322116223
erythromycin,LogReg,graR,-0.46143382870222943
erythromycin,LogReg,norB_3,-0.46143382870222943
erythromycin,LogReg,rho,0.4396793258531406
erythromycin,LogReg,PgsA,0.4396793258531406
erythromycin,LogReg,Ddl,0.4396793258531406
erythromycin,LogReg,ErmC,0.4396793258531406
erythromycin,LogReg,BlaZ family,-0.4347105860755143
erythromycin,LogReg,NorA,-0.4347105860755143
erythromycin,LogReg,ugpQ_3,-0.29769604572678565
erythromycin,LogReg,kasA,-0.2856029868012082
erythromycin,LogReg,mepR,-0.2846512786595332
erythromycin,LogReg,fusA,-0.2846512786595332
erythromycin,LogReg,arlS,-0.2846512786595332
erythromycin,LogReg,blaR1,-0.2846512786595332
erythromycin,LogReg,dfrC,-0.2846512786595332
erythromycin,LogReg,Alr,-0.2846512786595332
erythromycin,LogReg,BceS,-0.2846512786595332
erythromycin,LogReg,LiaR,-0.2846512786595332
